section,name,value
sizes,train,19116
sizes,val,308
sizes,test,308
row_overlap,train__val,0
row_overlap,train__test,0
row_overlap,val__test,0
pair_overlap,train__val,0
pair_overlap,train__test,0
pair_overlap,val__test,0
drug_overlap,train__val,0
drug_overlap,train__test,0
drug_overlap,val__test,0
target_overlap,train__val,0
target_overlap,train__test,0
target_overlap,val__test,0
scaffold_overlap,train__val,0
scaffold_overlap,train__test,0
scaffold_overlap,val__test,0
validation,ok,True
validation,violations,[]
validation,empty_splits,[]
