section,name,value
sizes,train,24072
sizes,val,2992
sizes,test,2992
row_overlap,train__val,0
row_overlap,train__test,0
row_overlap,val__test,0
pair_overlap,train__val,0
pair_overlap,train__test,0
pair_overlap,val__test,0
drug_overlap,train__val,68
drug_overlap,train__test,68
drug_overlap,val__test,68
target_overlap,train__val,0
target_overlap,train__test,0
target_overlap,val__test,0
scaffold_overlap,train__val,68
scaffold_overlap,train__test,68
scaffold_overlap,val__test,68
validation,ok,True
validation,violations,[]
validation,empty_splits,[]
