section,name,value
sizes,train,75871
sizes,val,1275
sizes,test,1196
row_overlap,train__val,0
row_overlap,train__test,0
row_overlap,val__test,0
pair_overlap,train__val,0
pair_overlap,train__test,0
pair_overlap,val__test,0
drug_overlap,train__val,0
drug_overlap,train__test,0
drug_overlap,val__test,0
target_overlap,train__val,0
target_overlap,train__test,0
target_overlap,val__test,0
scaffold_overlap,train__val,74
scaffold_overlap,train__test,83
scaffold_overlap,val__test,62
validation,ok,True
validation,violations,[]
validation,empty_splits,[]
