section,name,value
sizes,train,94610
sizes,val,11822
sizes,test,11822
row_overlap,train__val,0
row_overlap,train__test,0
row_overlap,val__test,0
pair_overlap,train__val,0
pair_overlap,train__test,0
pair_overlap,val__test,0
drug_overlap,train__val,0
drug_overlap,train__test,0
drug_overlap,val__test,0
target_overlap,train__val,221
target_overlap,train__test,223
target_overlap,val__test,221
scaffold_overlap,train__val,93
scaffold_overlap,train__test,83
scaffold_overlap,val__test,65
validation,ok,True
validation,violations,[]
validation,empty_splits,[]
