section,name,value
sizes,train,94610
sizes,val,11822
sizes,test,11822
row_overlap,train__val,0
row_overlap,train__test,0
row_overlap,val__test,0
pair_overlap,train__val,0
pair_overlap,train__test,0
pair_overlap,val__test,0
drug_overlap,train__val,0
drug_overlap,train__test,0
drug_overlap,val__test,0
target_overlap,train__val,229
target_overlap,train__test,229
target_overlap,val__test,229
scaffold_overlap,train__val,0
scaffold_overlap,train__test,0
scaffold_overlap,val__test,0
validation,ok,True
validation,violations,[]
validation,empty_splits,[]
